Health,Age,Value,Best Action
Dead,60,-100.0,
Dead,61,-100.0,
Dead,62,-100.0,
Dead,63,-100.0,
Dead,64,-100.0,
Dead,65,-100.0,
no AAA,60,40.0,surveillance
no AAA,61,39.0,surveillance
no AAA,62,38.0,surveillance
no AAA,63,37.0,surveillance
no AAA,64,36.0,surveillance
no AAA,65,35.0,surveillance
<30 mm,60,54.343,surgery
<30 mm,61,52.806,surgery
<30 mm,62,51.269000000000005,surgery
<30 mm,63,49.732,surgery
<30 mm,64,48.19500000000001,surgery
<30 mm,65,47.495000000000005,surgery
30-35 mm,60,51.841,surgery
30-35 mm,61,50.321999999999996,surgery
30-35 mm,62,48.803,surgery
30-35 mm,63,47.284,surgery
30-35 mm,64,45.765,surgery
30-35 mm,65,45.065,surgery
35-40 mm,60,49.339,surgery
35-40 mm,61,47.837999999999994,surgery
35-40 mm,62,46.337,surgery
35-40 mm,63,44.836,surgery
35-40 mm,64,43.335,surgery
35-40 mm,65,42.635000000000005,surgery
40-45 mm,60,46.837,surgery
40-45 mm,61,45.354,surgery
40-45 mm,62,43.870999999999995,surgery
40-45 mm,63,42.388,surgery
40-45 mm,64,40.905,surgery
40-45 mm,65,40.205,surgery
45-50 mm,60,44.335,surgery
45-50 mm,61,42.87,surgery
45-50 mm,62,41.405,surgery
45-50 mm,63,39.94,surgery
45-50 mm,64,38.475,surgery
45-50 mm,65,37.775,surgery
50-55 mm,60,41.833,surgery
50-55 mm,61,40.385999999999996,surgery
50-55 mm,62,38.93899999999999,surgery
50-55 mm,63,37.492,surgery
50-55 mm,64,36.044999999999995,surgery
50-55 mm,65,35.345,surgery
55-60 mm,60,39.331,surgery
55-60 mm,61,37.902,surgery
55-60 mm,62,36.473,surgery
55-60 mm,63,35.044000000000004,surgery
55-60 mm,64,33.615,surgery
55-60 mm,65,32.915,surgery
60-65 mm,60,37.629,surgery
60-65 mm,61,36.198,surgery
60-65 mm,62,34.767,surgery
60-65 mm,63,33.336,surgery
60-65 mm,64,31.905,surgery
60-65 mm,65,31.185000000000002,surgery
65-70 mm,60,40.327,surgery
65-70 mm,61,38.784,surgery
65-70 mm,62,37.241,surgery
65-70 mm,63,35.698,surgery
65-70 mm,64,34.154999999999994,surgery
65-70 mm,65,33.305,surgery
70-75 mm,60,39.825,surgery
70-75 mm,61,38.25,surgery
70-75 mm,62,36.675000000000004,surgery
70-75 mm,63,35.1,surgery
70-75 mm,64,33.525,surgery
70-75 mm,65,32.625,surgery
75-80 mm,60,39.323,surgery
75-80 mm,61,37.715999999999994,surgery
75-80 mm,62,36.109,surgery
75-80 mm,63,34.502,surgery
75-80 mm,64,32.894999999999996,surgery
75-80 mm,65,31.945,surgery
> 80 mm,60,38.421,surgery
> 80 mm,61,36.792,surgery
> 80 mm,62,35.163,surgery
> 80 mm,63,33.534000000000006,surgery
> 80 mm,64,31.905,surgery
> 80 mm,65,30.915,surgery
