Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,70.0,surveillance
no AAA,31,69.0,surveillance
no AAA,32,68.0,surveillance
no AAA,33,67.0,surveillance
no AAA,34,66.0,surveillance
no AAA,35,65.0,surveillance
<30 mm,30,103.48139202182993,surveillance
<30 mm,31,101.83767224664992,surveillance
<30 mm,32,100.27415350664992,surveillance
<30 mm,33,98.85441350664993,surveillance
<30 mm,34,97.69241350664993,surveillance
<30 mm,35,96.99241350664994,surveillance
30-35 mm,30,100.76900957119463,surveillance
30-35 mm,31,99.13978520885564,surveillance
30-35 mm,32,97.58948589185563,surveillance
30-35 mm,33,96.18071489185564,surveillance
30-35 mm,34,95.02571489185564,surveillance
30-35 mm,35,94.32571489185565,surveillance
35-40 mm,30,98.05879965960419,surveillance
35-40 mm,31,96.44407071010619,surveillance
35-40 mm,32,94.90699081610617,surveillance
35-40 mm,33,93.50918881610619,surveillance
35-40 mm,34,92.36118881610619,surveillance
35-40 mm,35,91.6611888161062,surveillance
40-45 mm,30,95.35678967997126,surveillance
40-45 mm,31,93.75653891373824,surveillance
40-45 mm,32,92.23267844273823,surveillance
40-45 mm,33,90.84584544273827,surveillance
40-45 mm,34,89.70484544273825,surveillance
40-45 mm,35,89.00484544273826,surveillance
45-50 mm,30,92.68607809485258,surveillance
45-50 mm,31,91.09894822795658,surveillance
45-50 mm,32,89.58820016395657,surveillance
45-50 mm,33,88.21233616395658,surveillance
45-50 mm,34,87.07833616395658,surveillance
45-50 mm,35,86.37833616395659,surveillance
50-55 mm,30,90.13280458731157,surveillance
50-55 mm,31,88.55529995039358,surveillance
50-55 mm,32,87.04984384439356,surveillance
50-55 mm,33,85.68431184439358,surveillance
50-55 mm,34,84.55731184439358,surveillance
50-55 mm,35,83.85731184439359,surveillance
55-60 mm,30,87.96451047039238,surveillance
55-60 mm,31,86.42293775239911,surveillance
55-60 mm,32,84.9206289746391,surveillance
55-60 mm,33,83.5221930546391,surveillance
55-60 mm,34,82.39855305463911,surveillance
55-60 mm,35,81.69855305463912,surveillance
60-65 mm,30,86.87,surgery
60-65 mm,31,85.52,surgery
60-65 mm,32,84.17,surgery
60-65 mm,33,82.82,surgery
60-65 mm,34,81.47,surgery
60-65 mm,35,80.75,surgery
65-70 mm,30,95.97,surgery
65-70 mm,31,94.49,surgery
65-70 mm,32,93.00999999999999,surgery
65-70 mm,33,91.53,surgery
65-70 mm,34,90.05,surgery
65-70 mm,35,89.19999999999999,surgery
70-75 mm,30,99.47,surgery
70-75 mm,31,97.94,surgery
70-75 mm,32,96.41,surgery
70-75 mm,33,94.88,surgery
70-75 mm,34,93.35,surgery
70-75 mm,35,92.44999999999999,surgery
75-80 mm,30,102.97,surgery
75-80 mm,31,101.38999999999999,surgery
75-80 mm,32,99.81,surgery
75-80 mm,33,98.22999999999999,surgery
75-80 mm,34,96.64999999999999,surgery
75-80 mm,35,95.69999999999999,surgery
> 80 mm,30,105.77,surgery
> 80 mm,31,104.15,surgery
> 80 mm,32,102.53,surgery
> 80 mm,33,100.91,surgery
> 80 mm,34,99.28999999999999,surgery
> 80 mm,35,98.29999999999998,surgery
