Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,603.2276446228776,surveillance
no AAA,31,599.2453933698481,surveillance
no AAA,32,595.8870866885583,surveillance
no AAA,33,593.2290544985582,surveillance
no AAA,34,591.3569644985582,surveillance
no AAA,35,590.3669644985582,surveillance
<30 mm,30,80.85911744848696,surveillance
<30 mm,31,79.73910638608696,surveillance
<30 mm,32,78.66501182608694,surveillance
<30 mm,33,77.67594782608695,surveillance
<30 mm,34,76.84434782608695,surveillance
<30 mm,35,76.30434782608695,surveillance
30-35 mm,30,78.02597798202268,surveillance
30-35 mm,31,76.94157812057003,surveillance
30-35 mm,32,75.89939382404904,surveillance
30-35 mm,33,74.93671153304905,surveillance
30-35 mm,34,74.12375053304903,surveillance
30-35 mm,35,73.59275053304903,surveillance
35-40 mm,30,75.29716181363199,surveillance
35-40 mm,31,74.24743642458236,surveillance
35-40 mm,32,73.23646824632635,surveillance
35-40 mm,33,72.29974759832635,surveillance
35-40 mm,34,71.50526359832635,surveillance
35-40 mm,35,70.98326359832635,surveillance
40-45 mm,30,72.66696412308572,surveillance
40-45 mm,31,71.65100218925093,surveillance
40-45 mm,32,70.67056956968993,surveillance
40-45 mm,33,69.75939487268992,surveillance
40-45 mm,34,68.98322587268991,surveillance
40-45 mm,35,68.47022587268991,surveillance
45-50 mm,30,70.13009170592723,surveillance
45-50 mm,31,69.1470073530302,surveillance
45-50 mm,32,68.1964431607742,surveillance
45-50 mm,33,67.3104030967742,surveillance
45-50 mm,34,66.5523870967742,surveillance
45-50 mm,35,66.04838709677419,surveillance
50-55 mm,30,67.6816263524381,surveillance
50-55 mm,31,66.73055828775372,surveillance
50-55 mm,32,65.80920866212873,surveillance
50-55 mm,33,64.94789628712873,surveillance
50-55 mm,34,64.20787128712873,surveillance
50-55 mm,35,63.71287128712873,surveillance
55-60 mm,30,65.31699207320578,surveillance
55-60 mm,31,64.3971030312876,surveillance
55-60 mm,32,63.5043272248716,surveillance
55-60 mm,33,62.6673399688716,surveillance
55-60 mm,34,61.945143968871605,surveillance
55-60 mm,35,61.4591439688716,surveillance
60-65 mm,30,65.31699207320578,surveillance
60-65 mm,31,64.3971030312876,surveillance
60-65 mm,32,63.5043272248716,surveillance
60-65 mm,33,62.6673399688716,surveillance
60-65 mm,34,61.945143968871605,surveillance
60-65 mm,35,61.4591439688716,surveillance
65-70 mm,30,65.31699207320578,surveillance
65-70 mm,31,64.3971030312876,surveillance
65-70 mm,32,63.5043272248716,surveillance
65-70 mm,33,62.6673399688716,surveillance
65-70 mm,34,61.945143968871605,surveillance
65-70 mm,35,61.4591439688716,surveillance
70-75 mm,30,65.31699207320578,surveillance
70-75 mm,31,64.3971030312876,surveillance
70-75 mm,32,63.5043272248716,surveillance
70-75 mm,33,62.6673399688716,surveillance
70-75 mm,34,61.945143968871605,surveillance
70-75 mm,35,61.4591439688716,surveillance
75-80 mm,30,65.3529940094709,surveillance
75-80 mm,31,64.4711810894463,surveillance
75-80 mm,32,63.656751212852456,surveillance
75-80 mm,33,62.98096957377048,surveillance
75-80 mm,34,62.57006557377048,surveillance
75-80 mm,35,62.336065573770476,surveillance
> 80 mm,30,209.65608703941058,surveillance
> 80 mm,31,207.3228664542468,surveillance
> 80 mm,32,205.2365958389508,surveillance
> 80 mm,33,203.47697862295078,surveillance
> 80 mm,34,202.14944262295074,surveillance
> 80 mm,35,201.39344262295074,surveillance
