Health,Age,Value,Best Action
Dead,60,-100.0,
Dead,61,-100.0,
Dead,62,-100.0,
Dead,63,-100.0,
Dead,64,-100.0,
Dead,65,-100.0,
no AAA,60,108.53560709569908,surgery
no AAA,61,106.06858289885533,surgery
no AAA,62,103.78734350510534,surgery
no AAA,63,101.78547975510534,surgery
no AAA,64,100.20372975510533,surgery
no AAA,65,99.25372975510533,surgery
<30 mm,60,27.32148454326923,surveillance
<30 mm,61,26.63281298076923,surveillance
<30 mm,62,25.95089423076923,surveillance
<30 mm,63,25.28826923076923,surveillance
<30 mm,64,24.68076923076923,surveillance
<30 mm,65,24.230769230769226,surveillance
30-35 mm,60,27.32148454326923,surveillance
30-35 mm,61,26.63281298076923,surveillance
30-35 mm,62,25.95089423076923,surveillance
30-35 mm,63,25.28826923076923,surveillance
30-35 mm,64,24.68076923076923,surveillance
30-35 mm,65,24.230769230769226,surveillance
35-40 mm,60,27.32148454326923,surveillance
35-40 mm,61,26.63281298076923,surveillance
35-40 mm,62,25.95089423076923,surveillance
35-40 mm,63,25.28826923076923,surveillance
35-40 mm,64,24.68076923076923,surveillance
35-40 mm,65,24.230769230769226,surveillance
40-45 mm,60,27.32148454326923,surveillance
40-45 mm,61,26.63281298076923,surveillance
40-45 mm,62,25.95089423076923,surveillance
40-45 mm,63,25.28826923076923,surveillance
40-45 mm,64,24.68076923076923,surveillance
40-45 mm,65,24.230769230769226,surveillance
45-50 mm,60,27.32148454326923,surveillance
45-50 mm,61,26.63281298076923,surveillance
45-50 mm,62,25.95089423076923,surveillance
45-50 mm,63,25.28826923076923,surveillance
45-50 mm,64,24.68076923076923,surveillance
45-50 mm,65,24.230769230769226,surveillance
50-55 mm,60,27.32148454326923,surveillance
50-55 mm,61,26.63281298076923,surveillance
50-55 mm,62,25.95089423076923,surveillance
50-55 mm,63,25.28826923076923,surveillance
50-55 mm,64,24.68076923076923,surveillance
50-55 mm,65,24.230769230769226,surveillance
55-60 mm,60,27.32148454326923,surveillance
55-60 mm,61,26.63281298076923,surveillance
55-60 mm,62,25.95089423076923,surveillance
55-60 mm,63,25.28826923076923,surveillance
55-60 mm,64,24.68076923076923,surveillance
55-60 mm,65,24.230769230769226,surveillance
60-65 mm,60,27.32148454326923,surveillance
60-65 mm,61,26.63281298076923,surveillance
60-65 mm,62,25.95089423076923,surveillance
60-65 mm,63,25.28826923076923,surveillance
60-65 mm,64,24.68076923076923,surveillance
60-65 mm,65,24.230769230769226,surveillance
65-70 mm,60,27.32148454326923,surveillance
65-70 mm,61,26.63281298076923,surveillance
65-70 mm,62,25.95089423076923,surveillance
65-70 mm,63,25.28826923076923,surveillance
65-70 mm,64,24.68076923076923,surveillance
65-70 mm,65,24.230769230769226,surveillance
70-75 mm,60,27.32148454326923,surveillance
70-75 mm,61,26.63281298076923,surveillance
70-75 mm,62,25.95089423076923,surveillance
70-75 mm,63,25.28826923076923,surveillance
70-75 mm,64,24.68076923076923,surveillance
70-75 mm,65,24.230769230769226,surveillance
75-80 mm,60,27.32148454326923,surveillance
75-80 mm,61,26.63281298076923,surveillance
75-80 mm,62,25.95089423076923,surveillance
75-80 mm,63,25.28826923076923,surveillance
75-80 mm,64,24.68076923076923,surveillance
75-80 mm,65,24.230769230769226,surveillance
> 80 mm,60,46.95375232098659,surveillance
> 80 mm,61,45.78416629603905,surveillance
> 80 mm,62,44.64837742451204,surveillance
> 80 mm,63,43.58256195551204,surveillance
> 80 mm,64,42.66161895551204,surveillance
> 80 mm,65,42.040618955512045,surveillance
