Health,Age,Value,Best Action
Dead,30,-100.0,
Dead,31,-100.0,
Dead,32,-100.0,
Dead,33,-100.0,
Dead,34,-100.0,
Dead,35,-100.0,
no AAA,30,70.0,surveillance
no AAA,31,69.0,surveillance
no AAA,32,68.0,surveillance
no AAA,33,67.0,surveillance
no AAA,34,66.0,surveillance
no AAA,35,65.0,surveillance
<30 mm,30,155.71617213820718,surveillance
<30 mm,31,153.4713716542272,surveillance
<30 mm,32,151.4457294342272,surveillance
<30 mm,33,149.72566943422717,surveillance
<30 mm,34,148.4316694342272,surveillance
<30 mm,35,147.73166943422717,surveillance
30-35 mm,30,150.17448057115234,surveillance
30-35 mm,31,147.95351084057336,surveillance
30-35 mm,32,145.94821258957336,surveillance
30-35 mm,33,144.24371358957336,surveillance
30-35 mm,34,142.95871358957336,surveillance
30-35 mm,35,142.25871358957335,surveillance
35-40 mm,30,144.64246445439278,surveillance
35-40 mm,31,142.4453254772148,surveillance
35-40 mm,32,140.46037119521478,surveillance
35-40 mm,33,138.7714331952148,surveillance
35-40 mm,34,137.4954331952148,surveillance
35-40 mm,35,136.7954331952148,surveillance
40-45 mm,30,139.13288044318682,surveillance
40-45 mm,31,136.95961930114584,surveillance
40-45 mm,32,134.99500898814586,surveillance
40-45 mm,33,133.32163198814584,surveillance
40-45 mm,34,132.05463198814584,surveillance
40-45 mm,35,131.35463198814585,surveillance
45-50 mm,30,133.67355197662368,surveillance
45-50 mm,31,131.52461719717564,surveillance
45-50 mm,32,129.58057830117565,surveillance
45-50 mm,33,127.92276230117565,surveillance
45-50 mm,34,126.66476230117567,surveillance
45-50 mm,35,125.96476230117568,surveillance
50-55 mm,30,128.3231064673588,surveillance
50-55 mm,31,126.19974496887778,surveillance
50-55 mm,32,124.27780433987779,surveillance
50-55 mm,33,122.63660233987781,surveillance
50-55 mm,34,121.38760233987779,surveillance
50-55 mm,35,120.6876023398778,surveillance
55-60 mm,30,123.2062419230025,surveillance
55-60 mm,31,121.10770092661801,surveillance
55-60 mm,32,119.20991920605802,surveillance
55-60 mm,33,117.58971636605801,surveillance
55-60 mm,34,116.35439636605801,surveillance
55-60 mm,35,115.65439636605802,surveillance
60-65 mm,30,118.60143512376544,surveillance
60-65 mm,31,116.51239005458096,surveillance
60-65 mm,32,114.63111193410097,surveillance
60-65 mm,33,113.03126945410096,surveillance
60-65 mm,34,111.81828945410098,surveillance
60-65 mm,35,111.13828945410097,surveillance
65-70 mm,30,121.0602284033592,surveillance
65-70 mm,31,118.86074169765841,surveillance
65-70 mm,32,116.86183613085842,surveillance
65-70 mm,33,115.16630333085843,surveillance
65-70 mm,34,113.87000333085842,surveillance
65-70 mm,35,113.12000333085842,surveillance
70-75 mm,30,112.12715187185017,surveillance
70-75 mm,31,110.05088862520617,surveillance
70-75 mm,32,108.08499717120617,surveillance
70-75 mm,33,106.34620817120617,surveillance
70-75 mm,34,105.07470817120615,surveillance
70-75 mm,35,104.37470817120615,surveillance
75-80 mm,30,113.39,surgery
75-80 mm,31,111.63,surgery
75-80 mm,32,109.87,surgery
75-80 mm,33,108.11,surgery
75-80 mm,34,106.35,surgery
75-80 mm,35,105.4,surgery
> 80 mm,30,116.19,surgery
> 80 mm,31,114.39000000000001,surgery
> 80 mm,32,112.59,surgery
> 80 mm,33,110.78999999999999,surgery
> 80 mm,34,108.99000000000001,surgery
> 80 mm,35,108.0,surgery
